JSON File,Network Delay,Max TX Rate
neighbors_yifan.json,150,724.0
neighbors_yifan.json,200,638.0
neighbors_yifan.json,250,557.0
neighbors_yifan.json,300,487.0
neighbors_yifan.json,350,430.0
neighbors_all_to_all.json,150,575.0
neighbors_all_to_all.json,100,598.0
neighbors_all_to_all.json,200,557.0
neighbors_all_to_all.json,250,533.0
neighbors_all_to_all.json,300,510.0
neighbors_all_to_all.json,350,510.0
neighbors_all_to_all.json,400,487.0
neighbors_all_to_all.json,0,690.0
neighbors_all_to_all.json,20,661.0
neighbors_all_to_all.json,40,655.0
neighbors_all_to_all.json,60,638.0
neighbors_yifan.json,0,1135.0
neighbors_yifan.json,20,1048.0
neighbors_yifan.json,40,1008.0
neighbors_random_16.json,0,800.0
neighbors_random_16.json,50,788.0
neighbors_random_16.json,100,695.0
neighbors_random_16.json,150,649.0
neighbors_random_16.json,200,638.0
neighbors_random_16.json,250,586.0
neighbors_random_16.json,300,545.0
neighbors_random_16.json,350,510.0
neighbors_random_6.json,0,1226.5
neighbors_random_6.json,50,1022.5
neighbors_random_6.json,100,839.5
neighbors_random_6.json,150,725.0
neighbors_random_6.json,200,617.5
neighbors_random_6.json,250,545.0
neighbors_random_6.json,300,470.0
neighbors_random_6.json,350,390.0
neighbors_all_to_all.json,450,480.0
neighbors_all_to_all.json,500,440.0
neighbors_all_to_all.json,550,440.0
neighbors_all_to_all.json,600,410.0
neighbors_yifan.json,400,350.0
neighbors_yifan.json,450,220.0
neighbors_yifan.json,500,0
neighbors_yifan.json,550,0
neighbors_yifan.json,600,0
neighbors_random_6.json,400,290.0
neighbors_random_6.json,450,60.0
neighbors_random_6.json,500,0
neighbors_random_16.json,400,520.0
neighbors_random_16.json,450,500.0
neighbors_random_16.json,500,400.0
neighbors_random_16.json,550,50.0
neighbors_random_16.json,600,60.0
neighbors_random_4.json,100,700.0
neighbors_random_4.json,150,570.0
neighbors_random_4.json,200,460.0
neighbors_random_4.json,250,400.0
neighbors_random_2.json,0,660.0
neighbors_random_2.json,50,390.0
neighbors_random_2.json,100,50.0
neighbors_random_2.json,150,0
